id,slug,nom,cp,ville,adresse,departement
"2a59e0b9-0444-4df8-a428-9acad88def03","audika-france-57000","AUDIKA FRANCE","57000","","11 RUE HAUTE SEILLE","57"
"a58a3f9a-8cad-4e74-9b1c-acff0c5739ff","audika-france-34200","AUDIKA FRANCE","34200","","10 BIS QUAI RHIN ET DANUBE","34"
"8766da39-ddd7-4004-8908-156363fcd290","audika-france-37000","AUDIKA FRANCE","37000","","27 BIS RUE VICTOR HUGO","37"
"ec540fe5-b8cd-4176-b4f8-152ef4bc4ae4","audika-france-58500","AUDIKA FRANCE","58500","","1 RUE DU PONT CHATELAIN","58"
"537fdf45-6337-425e-ab3d-5805464a9dfc","audika-france-59190","AUDIKA FRANCE","59190","","2 RUE DES AUGUSTINS","59"
"5ea289ed-0592-4235-b60a-ce6755898f2a","audika-france-59100","AUDIKA FRANCE","59100","","16 BIS BD DU GENERAL DE GAULLE","59"
"56b14ee6-e01c-418b-bc90-e9c46e2ded15","audika-france-59400","AUDIKA FRANCE","59400","","8 RUE MARECHAL DE LATTRE DE TASSIGNY","59"
"555d9adf-5143-4203-a3f1-1edf3c4fd75d","audika-france-59113","AUDIKA FRANCE","59113","","30 RUE JEAN JAURES","59"
"5a866ffa-9046-4531-a477-cc38bcc12779","audika-france-59280","AUDIKA FRANCE","59280","","65 RUE DE LILLE","59"
"9a3e908b-4102-49d3-84a8-3e4dad6c1024","audika-france-40100","AUDIKA FRANCE","40100","","24 RUE LOUIS BARTHOU","40"
"5750691f-5074-43e4-9655-6dd205e8f332","audika-france-38400","AUDIKA FRANCE","38400","","7 AVENUE GABRIEL PERI","38"
"ece57770-65de-477e-b60d-462b76afd2fe","audika-france-60130","AUDIKA FRANCE","60130","","1 BIS RUE DE BEAUVAIS","60"
"06f57e09-3a80-479a-aaad-4b862da00bc3","audika-france-38300-tramole","AUDIKA FRANCE","38300","Tramolé","72 RUE DE LA REPUBLIQUE","38"
"254c254d-79f9-4a6d-968f-b5b5cf3dda4d","audika-france-63300","AUDIKA FRANCE","63300","","EDIFICE MOUTIER","63"
"20f2e4bf-ddbb-4b96-8537-b95056d6a19b","audika-france-64400","AUDIKA FRANCE","64400","","61 RUE CARREROT","64"
"e563cc5f-6958-4a65-8dff-971bcc64d672","audika-france-66400","AUDIKA FRANCE","66400","","18 BD JEAN MOULIN","66"
"dcfb4ed4-bd90-4133-a4f2-b5aada32be62","audika-france-57230","AUDIKA FRANCE","57230","","46 RUE DU MARECHAL FOCH","57"
"09715c0c-cf5d-4d1e-9cd7-4de695fce649","audika-france-59300","AUDIKA FRANCE","59300","","17 PLACE DU HAINAUT","59"
"4706782b-3cba-41bd-9e5a-161fc1270df3","audika-france-67300","AUDIKA FRANCE","67300","","87 ROUTE DE BISCHWILLER","67"
"c00c637e-c7ae-453d-b9ce-ebb09c05bb51","audika-france-59200","AUDIKA FRANCE","59200","","3 RUE DU GENERAL LECLERC","59"
"70c872f6-46e0-4eb9-af49-87f60fe9747f","audika-france-68120","AUDIKA FRANCE","68120","","107 RUE DE RICHWILLER","68"
"2321f668-c05b-4d14-b1b9-ffca51ac1d60","audika-france-69006","AUDIKA FRANCE","69006","","112 RUE VENDOME","69"
"12030f9a-2f95-4cc8-87ee-33163442ed29","audika-france-69500","AUDIKA FRANCE","69500","","116/118 AVENUE FRANKLIN ROOSEVELT","69"
"fdbc0313-2ce1-4aef-a539-ad17d25ba110","audika-france-71500","AUDIKA FRANCE","71500","","17 RUE DE BRAM","71"
"93dab75a-2a00-4172-b804-0be9fca94366","audika-france-48200","AUDIKA FRANCE","48200","","134 RUE THEOPHILE ROUSSEL","48"
"228058e6-ffa9-46e3-bea7-3d28826c1d94","audika-france-59610","AUDIKA FRANCE","59610","","10/12 RUE SAINT-LOUIS","59"
"f47b4aed-300d-4b21-aa01-063846704e87","audika-france-55000","AUDIKA FRANCE","55000","","110 Boulevard DE LA ROCHELLE","55"
"c655f852-a29e-434b-b1eb-58308fe966e7","audika-france-59120","AUDIKA FRANCE","59120","","143 RUE DU MARECHAL FOCH","59"
"c843a893-1e4e-4bd1-87b3-202052c1db7f","audika-france-72000","AUDIKA FRANCE","72000","","22 AV. DU GENERAL LECLERC","72"
"6eb8452e-bd0c-48ed-9f11-c1ebf72a5aab","audika-france-63800","AUDIKA FRANCE","63800","","48 TER AV. DE LA LIBERATION","63"
"7cc14748-3926-42ef-a578-a13543e8b68d","audika-france-54130","AUDIKA FRANCE","54130","","39 AVENUE CARNOT","54"
"86a13453-bf92-48a4-bff8-743e4cad5697","audika-france-59620","AUDIKA FRANCE","59620","","145 PLACE DE L'HOTEL DE VILLE","59"
"eb625864-f8ad-4557-8af2-ad440a44f2e8","audika-france-75014","AUDIKA FRANCE","75014","","182 RUE D'ALESIA","75"
"148a6d4c-34a2-4b76-81c0-09ffc2ae25a3","audika-france-75016","AUDIKA FRANCE","75016","","52 RUE D'AUTEUIL","75"
"bfe4c981-a4e6-40ba-8518-ccb8100f7e67","audika-france-75005","AUDIKA FRANCE","75005","","56 RUE MONGE","75"
"599d3439-0447-491f-b527-a6a94cdc5ea9","audika-france-75017","AUDIKA FRANCE","75017","","79 AVENUE NIEL","75"
"62c5474d-f185-47a8-8558-f00bde15ab4a","audika-france-75003","AUDIKA FRANCE","75003","","5 BD SAINT-MARTIN","75"
"cde97cc6-610c-4115-8f94-ad5f948bdf13","audika-france-59220","AUDIKA FRANCE","59220","","123 RUE DE VILLARS","59"
"cc36940b-d8ad-439d-b827-cc42d3e6e25a","audika-france-62000","AUDIKA FRANCE","62000","","1 RUE MEAULENS","62"
"7614748c-7abd-417f-8a42-461919ccc01a","audika-france-66300","AUDIKA FRANCE","66300","","10, ALLEE DES DROITS DE L' HOMME","66"
